sample_id,study,condition,strain description,strain,culture type,evolved sample,base media,temperature (c),pH,carbon source (g/L),nitrogen source (g/L),electron acceptor,trace element mixture,supplement,antibiotic for selection,growth rate (1/hr),isolate type,additional details,biological replicates,doi,run_date,n_replicates
misc__bw_delcbl__2,Misc,bw_delcbl,Escherichia coli K-12 BW25113 del_cbl,BW25113,Batch,No,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,Kanamycin,,,,2,doi.org/10.1038/s41467-019-13483-w,7/29/2015,2
misc__bw_delfabr__1,Misc,bw_delfabr,Escherichia coli K-12 BW25113 del_fabR,BW25113,Batch,No,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,Kanamycin,,,,2,doi.org/10.1038/s41467-019-13483-w,7/29/2015,2
misc__bw_delfabr__2,Misc,bw_delfabr,Escherichia coli K-12 BW25113 del_fabR,BW25113,Batch,No,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,Kanamycin,,,,2,doi.org/10.1038/s41467-019-13483-w,7/29/2015,2
misc__bw_delfadr__1,Misc,bw_delfadr,Escherichia coli K-12 BW25113 del_fadR,BW25113,Batch,No,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,Kanamycin,,,,2,doi.org/10.1038/s41467-019-13483-w,7/29/2015,2
misc__bw_delfadr__2,Misc,bw_delfadr,Escherichia coli K-12 BW25113 del_fadR,BW25113,Batch,No,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,Kanamycin,,,,2,doi.org/10.1038/s41467-019-13483-w,7/29/2015,2
misc__nitr_031__1,Misc,nitr_031,Escherichia coli K-12 MG1655,MG1655,Chemostat,No,M9,37,7,glucose(4),NH4Cl(10mM),O2,sauer trace element mixture,,,,,chemostat w/ dilution rate 0.31 h^-1,1,doi.org/10.1038/s41467-019-13483-w,7/24/2014,1
omics__wt_glu__1,Omics,wt_glu,Escherichia coli K-12 MG1655,MG1655,Batch,No,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,glutamate (10mM),,,,,2,doi.org/10.1038/s41467-019-13483-w,7/2/2014,2
omics__wt_glu__2,Omics,wt_glu,Escherichia coli K-12 MG1655,MG1655,Batch,No,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,glutamate (10mM),,,,,2,doi.org/10.1038/s41467-019-13483-w,7/2/2014,2
omics__wt_gly__1,Omics,wt_gly,Escherichia coli K-12 MG1655,MG1655,Batch,No,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,glycine (10mM),,,,,2,doi.org/10.1038/ncomms13091,7/3/2014,2
omics__wt_gly__2,Omics,wt_gly,Escherichia coli K-12 MG1655,MG1655,Batch,No,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,glycine (10mM),,,,,2,doi.org/10.1038/ncomms13091,7/3/2014,2
omics__wt_thr__1,Omics,wt_thr,Escherichia coli K-12 MG1655,MG1655,Batch,No,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,threonine (10mM),,,,,2,doi.org/10.1038/ncomms13091,7/7/2014,2
omics__wt_thr__2,Omics,wt_thr,Escherichia coli K-12 MG1655,MG1655,Batch,No,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,threonine (10mM),,,,,2,doi.org/10.1038/ncomms13091,7/7/2014,2
omics__bw_ac__1,Omics,bw_ac,Escherichia coli BW25113,BW25113,Batch,No,M9,37,7,acetate(3.5),NH4Cl(1),O2,aebersold trace element mixture,"thiamine (1.4mM), FeCl3 (60uM)",,0.2,,,2,doi.org/10.1038/ncomms13091,1/12/2015,2
omics__bw_ac__2,Omics,bw_ac,Escherichia coli BW25113,BW25113,Batch,No,M9,37,7,acetate(3.5),NH4Cl(1),O2,aebersold trace element mixture,"thiamine (1.4mM), FeCl3 (60uM)",,0.2,,,2,doi.org/10.1038/ncomms13091,1/12/2015,2
omics__bw_fum__1,Omics,bw_fum,Escherichia coli BW25113,BW25113,Batch,No,M9,37,7,fumarate(2.8),NH4Cl(1),O2,aebersold trace element mixture,"thiamine (1.4mM), FeCl3 (60uM)",,0.31,,,2,doi.org/10.1038/ncomms13091,1/12/2015,2
omics__bw_fum__2,Omics,bw_fum,Escherichia coli BW25113,BW25113,Batch,No,M9,37,7,fumarate(2.8),NH4Cl(1),O2,aebersold trace element mixture,"thiamine (1.4mM), FeCl3 (60uM)",,0.31,,,2,doi.org/10.1038/ncomms13091,1/12/2015,2
omics__bw_glc__1,Omics,bw_glc,Escherichia coli BW25113,BW25113,Batch,No,M9,37,7,glucose(5),NH4Cl(1),O2,aebersold trace element mixture,"thiamine (1.4mM), FeCl3 (60uM)",,0.61,,,2,doi.org/10.1038/ncomms13091,3/12/2013,2
omics__bw_glc__2,Omics,bw_glc,Escherichia coli BW25113,BW25113,Batch,No,M9,37,7,glucose(5),NH4Cl(1),O2,aebersold trace element mixture,"thiamine (1.4mM), FeCl3 (60uM)",,0.61,,,2,doi.org/10.1038/ncomms13091,3/12/2013,2
omics__bw_pyr__1,Omics,bw_pyr,Escherichia coli BW25113,BW25113,Batch,No,M9,37,7,pyruvate(3.3),NH4Cl(1),O2,aebersold trace element mixture,"thiamine (1.4mM), FeCl3 (60uM)",,0.37,,,2,doi.org/10.1038/ncomms13091,1/12/2015,2
omics__bw_pyr__2,Omics,bw_pyr,Escherichia coli BW25113,BW25113,Batch,No,M9,37,7,pyruvate(3.3),NH4Cl(1),O2,aebersold trace element mixture,"thiamine (1.4mM), FeCl3 (60uM)",,0.37,,,2,doi.org/10.1038/ncomms13091,1/12/2015,2
ompr__wt_nacl__1,OmpR,wt_nacl,Escherichia coli K-12 MG1655,MG1655,Batch,No,M9,37,7,glucose(2),NH4Cl(1),O2,,NaCl (0.3M),,0,,,2,doi.org/10.1038/s41598-017-02110-7,7/29/2015,2
ompr__wt_nacl__2,OmpR,wt_nacl,Escherichia coli K-12 MG1655,MG1655,Batch,No,M9,37,7,glucose(2),NH4Cl(1),O2,,NaCl (0.3M),,0,,,2,doi.org/10.1038/s41598-017-02110-7,7/29/2015,2
ompr__bw_delompr_nacl__1,OmpR,bw_delompr_nacl,Escherichia coli K-12 BW25113 del_ompR,BW25113,Batch,No,M9,37,7,glucose(2),NH4Cl(1),O2,,NaCl (0.3M),Kanamycin,0,,,2,doi.org/10.1038/s41598-017-02110-7,7/29/2015,2
ompr__bw_delompr_nacl__2,OmpR,bw_delompr_nacl,Escherichia coli K-12 BW25113 del_ompR,BW25113,Batch,No,M9,37,7,glucose(2),NH4Cl(1),O2,,NaCl (0.3M),Kanamycin,0,,,2,doi.org/10.1038/s41598-017-02110-7,7/29/2015,2
minspan__wt_ade__1,MinSpan,wt_ade,Escherichia coli K-12 MG1655,MG1655,Batch,No,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,adenine (10mM),,,,,1,doi.org/10.15252/msb.20145243,10/1/2012,1
minspan__wt_glc__2,MinSpan,wt_glc,Escherichia coli K-12 MG1655,MG1655,Batch,No,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,,,4,doi.org/10.15252/msb.20145243,10/1/2012,3
minspan__wt_glc__3,MinSpan,wt_glc,Escherichia coli K-12 MG1655,MG1655,Batch,No,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,,,4,doi.org/10.15252/msb.20145243,10/1/2012,3
minspan__wt_glc__4,MinSpan,wt_glc,Escherichia coli K-12 MG1655,MG1655,Batch,No,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,,Bridging Study between MiSeq & GAIIX,4,doi.org/10.1038/s41467-019-13483-w,10/1/2012,3
minspan__wt_glc_anaero__1,MinSpan,wt_glc_anaero,Escherichia coli K-12 MG1655,MG1655,Batch,No,M9,37,7,glucose(4),NH4Cl(1),,sauer trace element mixture,,,,,,2,doi.org/10.15252/msb.20145243,10/1/2012,2
minspan__wt_glc_anaero__2,MinSpan,wt_glc_anaero,Escherichia coli K-12 MG1655,MG1655,Batch,No,M9,37,7,glucose(4),NH4Cl(1),,sauer trace element mixture,,,,,,2,doi.org/10.15252/msb.20145243,10/1/2012,2
minspan__wt_trp__1,MinSpan,wt_trp,Escherichia coli K-12 MG1655,MG1655,Batch,No,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,L-tryptophan (20mg/L),,,,,1,doi.org/10.15252/msb.20145243,10/1/2012,1
minspan__bw_delcra_glc__2,MinSpan,bw_delcra_glc,Escherichia coli BW25113 del_cra,BW25113,Batch,No,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,Kanamycin,,,Bridging Study between MiSeq & GAIIX,2,doi.org/10.1038/s41467-019-13483-w,10/1/2012,1
minspan__bw_delcra_trp__1,MinSpan,bw_delcra_trp,Escherichia coli BW25113 del_cra,BW25113,Batch,No,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,L-tryptophan (20mg/L),Kanamycin,,,,1,doi.org/10.15252/msb.20145243,10/1/2012,1
minspan__bw_delmntr__1,MinSpan,bw_delmntr,Escherichia coli BW25113 del_mntR,BW25113,Batch,No,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,Kanamycin,,,,1,doi.org/10.15252/msb.20145243,10/1/2012,1
minspan__bw_delnac_ade__1,MinSpan,bw_delnac_ade,Escherichia coli BW25113 del_nac,BW25113,Batch,No,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,adenine (10mM),Kanamycin,,,,1,doi.org/10.15252/msb.20145243,10/1/2012,1
minspan__bw_delnac_glc__1,MinSpan,bw_delnac_glc,Escherichia coli BW25113 del_nac,BW25113,Batch,No,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,Kanamycin,,,,1,doi.org/10.15252/msb.20145243,10/1/2012,1
cra_crp__wt_ac__1,Cra/Crp,wt_ac,Escherichia coli K-12 MG1655,MG1655,Batch,No,M9,37,7,acetate(2),NH4Cl(1),O2,aebersold trace element mixture,,,0.25,,,2,doi.org/10.1093/nar/gky069,7/8/2014,2
cra_crp__wt_ac__2,Cra/Crp,wt_ac,Escherichia coli K-12 MG1655,MG1655,Batch,No,M9,37,7,acetate(2),NH4Cl(1),O2,aebersold trace element mixture,,,0.25,,,2,doi.org/10.1093/nar/gky069,7/8/2014,2
cra_crp__wt_fru__1,Cra/Crp,wt_fru,Escherichia coli K-12 MG1655,MG1655,Batch,No,M9,37,7,fructose(2),NH4Cl(1),O2,aebersold trace element mixture,,,0.53,,,2,doi.org/10.1093/nar/gky069,7/8/2014,2
cra_crp__wt_fru__2,Cra/Crp,wt_fru,Escherichia coli K-12 MG1655,MG1655,Batch,No,M9,37,7,fructose(2),NH4Cl(1),O2,aebersold trace element mixture,,,0.53,,,2,doi.org/10.1093/nar/gky069,7/8/2014,2
cra_crp__delcra_ac__1,Cra/Crp,delcra_ac,Escherichia coli K-12 MG1655 del_cra,MG1655,Batch,No,M9,37,7,acetate(2),NH4Cl(1),O2,aebersold trace element mixture,,Kanamycin,0.08,,,2,doi.org/10.1093/nar/gky069,11/19/2014,2
cra_crp__delcra_ac__2,Cra/Crp,delcra_ac,Escherichia coli K-12 MG1655 del_cra,MG1655,Batch,No,M9,37,7,acetate(2),NH4Cl(1),O2,aebersold trace element mixture,,Kanamycin,0.08,,,2,doi.org/10.1093/nar/gky069,11/19/2014,2
cra_crp__delcra_fru__1,Cra/Crp,delcra_fru,Escherichia coli K-12 MG1655 del_cra,MG1655,Batch,No,M9,37,7,fructose(2),NH4Cl(1),O2,aebersold trace element mixture,,Kanamycin,0.69,,,2,doi.org/10.1093/nar/gky069,11/17/2014,2
cra_crp__delcra_fru__2,Cra/Crp,delcra_fru,Escherichia coli K-12 MG1655 del_cra,MG1655,Batch,No,M9,37,7,fructose(2),NH4Cl(1),O2,aebersold trace element mixture,,Kanamycin,0.69,,,2,doi.org/10.1093/nar/gky069,11/17/2014,2
cra_crp__delcra_glc__1,Cra/Crp,delcra_glc,Escherichia coli K-12 MG1655 del_cra,MG1655,Batch,No,M9,37,7,glucose(2),NH4Cl(1),O2,aebersold trace element mixture,,Kanamycin,0.67,,,2,doi.org/10.1093/nar/gky069,11/18/2014,2
cra_crp__delcra_glc__2,Cra/Crp,delcra_glc,Escherichia coli K-12 MG1655 del_cra,MG1655,Batch,No,M9,37,7,glucose(2),NH4Cl(1),O2,aebersold trace element mixture,,Kanamycin,0.67,,,2,doi.org/10.1093/nar/gky069,11/18/2014,2
rpoB__wt_031__1,RpoB Knock-in,wt_031,Escherichia coli K-12 MG1655,MG1655,Chemostat,No,M9,37,7,glucose(4),NH4Cl(1),O2,,,,,,chemostat w/ dilution rate 0.31 h^-1,1,doi.org/10.1016/j.cels.2016.04.003,8/7/2013,1
rpoB__wt_044__1,RpoB Knock-in,wt_044,Escherichia coli K-12 MG1655,MG1655,Chemostat,No,M9,37,7,glucose(4),NH4Cl(1),O2,,,,,,chemostat w/ dilution rate 0.44 h^-1,1,doi.org/10.1016/j.cels.2016.04.003,8/7/2013,1
rpoB__wt_lb__1,RpoB Knock-in,wt_lb,Escherichia coli K-12 MG1655,MG1655,Batch,No,LB,37,7,,,O2,,,,1.42,,,2,doi.org/10.1016/j.cels.2016.04.003,12/18/2013,2
rpoB__wt_lb__2,RpoB Knock-in,wt_lb,Escherichia coli K-12 MG1655,MG1655,Batch,No,LB,37,7,,,O2,,,,1.42,,,2,doi.org/10.1016/j.cels.2016.04.003,12/18/2013,2
rpoB__rpoBE546V_031__1,RpoB Knock-in,rpoBE546V_031,Escherichia coli K-12 MG1655 rpoBE546V,MG1655,Chemostat,No,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,Kanamycin,,,chemostat w/ dilution rate 0.31 h^-1,1,doi.org/10.1016/j.cels.2016.04.003,8/13/2013,1
rpoB__rpoBE546V_044__1,RpoB Knock-in,rpoBE546V_044,Escherichia coli K-12 MG1655 rpoBE546V,MG1655,Chemostat,No,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,Kanamycin,,,chemostat w/ dilution rate 0.44 h^-1,1,doi.org/10.1016/j.cels.2016.04.003,8/13/2013,1
rpoB__rpoBE546V_lb__1,RpoB Knock-in,rpoBE546V_lb,Escherichia coli K-12 MG1655 rpoBE546V,MG1655,Batch,No,LB,37,7,,,O2,,,Kanamycin,1.34,,,2,doi.org/10.1016/j.cels.2016.04.003,12/18/2013,2
rpoB__rpoBE546V_lb__2,RpoB Knock-in,rpoBE546V_lb,Escherichia coli K-12 MG1655 rpoBE546V,MG1655,Batch,No,LB,37,7,,,O2,,,Kanamycin,1.34,,,2,doi.org/10.1016/j.cels.2016.04.003,12/18/2013,2
rpoB__rpoBE546V_glc__1,RpoB Knock-in,rpoBE546V_glc,Escherichia coli K-12 MG1655 rpoBE546V,MG1655,Batch,No,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,Kanamycin,0.85,,,1,doi.org/10.1016/j.cels.2016.04.003,12/20/2013,1
rpoB__rpoBE672K_glc__1,RpoB Knock-in,rpoBE672K_glc,Escherichia coli K-12 MG1655 rpoBE672K,MG1655,Batch,No,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,Kanamycin,0.88,,,2,doi.org/10.1016/j.cels.2016.04.003,12/18/2013,2
rpoB__rpoBE672K_glc__2,RpoB Knock-in,rpoBE672K_glc,Escherichia coli K-12 MG1655 rpoBE672K,MG1655,Batch,No,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,Kanamycin,0.88,,,2,doi.org/10.1016/j.cels.2016.04.003,12/18/2013,2
rpoB__rpoBE672K_lb__1,RpoB Knock-in,rpoBE672K_lb,Escherichia coli K-12 MG1655 rpoBE672K,MG1655,Batch,No,LB,37,7,,,O2,,,Kanamycin,1.4,,,2,doi.org/10.1016/j.cels.2016.04.003,12/18/2013,2
rpoB__rpoBE672K_lb__2,RpoB Knock-in,rpoBE672K_lb,Escherichia coli K-12 MG1655 rpoBE672K,MG1655,Batch,No,LB,37,7,,,O2,,,Kanamycin,1.4,,,2,doi.org/10.1016/j.cels.2016.04.003,12/18/2013,2
crp__wt_fru__1,Crp ARs,wt_fru,Escherichia coli K-12 MG1655,MG1655,Batch,No,M9,37,7,fructose(2),NH4Cl(1),O2,sauer trace element mixture,,,,,,1,doi.org/10.1371/journal.pone.0197272,8/15/2013,1
